representation,beta,R0,R0_std,R_stress_eta0p1,R_stress_eta0p1_std,info_cost,info_cost_std,turnover,turnover_std,exec_cost,exec_cost_std
greeks,0.0,23.95259726902133,2.1945910726218396,29.760596002846846,5.988422726951214,0.6323473024630799,0.08435987152981268,0.0827561529723381,0.00789970920613897,0.0006516740676223662,0.00011861340728211984
greeks,1.0,24.183052403101065,2.227539332033153,30.173928735156863,6.029915572664425,0.61440929770768,0.08555873661070881,0.08156918099338889,0.008025942809355466,0.0006332785843781276,0.00011893826361080162
micro,0.0,32.41793580968847,6.274990530753071,50.220723806273895,18.776047622030486,0.323384399698449,0.028180776624200304,0.22447623362820524,0.0200988968381791,0.008852760090989158,0.0018735158636572877
micro,1.0,32.56529886544058,6.295735357476369,50.3638284711733,18.761981977380643,0.31217864863534206,0.026632815764445206,0.22055243837085142,0.01954575830945318,0.008545021331332708,0.0017930371476698747
