seed_idx,representation,beta,info_cost,turnover,exec_cost,R0,R_stress_eta0p1,R_eta_curve,model_fingerprint
0,greeks,0.0,0.6919987396818363,0.08834209092140077,0.000735546412251195,25.50440749840369,33.99505032168569,"[25.50440749840369, 33.99505032168569, 34.95819182280129]",3deda71df86d0e7b9f78f7f22dae06332864651bbf0860a451f72c68c8488bb3
0,greeks,1.0,0.674908460554866,0.08724437957929955,0.0007173806371198785,25.758160570141463,34.437722926570245,"[25.758160570141463, 34.437722926570245, 35.3861287365353]",f61f2e9d65268ec3891e02b1eef5009b1f333150af1f05e8357ff01b95bf8028
0,micro,0.0,0.3034575814483736,0.2102641673795599,0.007527984319136519,36.855024165865345,63.49739440369321,"[36.855024165865345, 63.49739440369321, 71.51214845397016]",b1603da0f8dda3777d08b097be297bc0ded4f04acd2f346c9559b8c478d3a3b7
0,micro,1.0,0.29334640400621087,0.20673150012680375,0.007277152605295954,37.01705602926804,63.63055315587894,"[37.01705602926804, 63.63055315587894, 71.49425127357566]",a0c1de281f64b36cf54ca06b0b576cac8579032e06f4c0ebd8cd6882ad1510f2
1,greeks,0.0,0.5726958652443234,0.07717021502327544,0.0005678017229935375,22.400787039638967,25.526141684008007,"[22.400787039638967, 25.526141684008007, 26.126393229715113]",73d0915d99b6ba3e556752ef183f011cd8fb8dbf3203b688afc223397146dbcf
1,greeks,1.0,0.5539101348604941,0.07589398240747823,0.0005491765316363766,22.60794423606067,25.910134543743485,"[22.60794423606067, 25.910134543743485, 26.595265569821347]",aa4616d2320ff42020e5573f9ecda609851e4f7adec2f801f8803fdc0f7f7bba
1,micro,0.0,0.34331121794852437,0.23868829987685053,0.010177535862841798,27.980847453511604,36.94405320885459,"[27.980847453511604, 36.94405320885459, 37.90454121514945]",837d4602086de57add78c808a652066121055a08eae4f813eb7b7109831541e4
1,micro,1.0,0.33101089326447325,0.23437337661489907,0.009812890057369461,28.11354170161313,37.097103786467656,"[28.11354170161313, 37.097103786467656, 38.077932583171226]",2e49566ecb3b6272090c1ee376b75a63175981777a0aadef4ddc6e0c694ce454
