representation,beta,R0,R_stress_eta0p1,info_cost,turnover,exec_cost
greeks,0.0,15.579514708449535,27.01908115342252,11.76466158990771,0.02528677196502547,9.525169267614195e-05
greeks,0.01,15.579514708449535,27.01908115342252,11.76466158990771,0.02528677196502547,9.525169267614195e-05
greeks,0.03,15.579514708449535,27.01908115342252,11.76466158990771,0.02528677196502547,9.525169267614195e-05
greeks,0.06,15.579514708449535,27.01908115342252,11.76466158990771,0.02528677196502547,9.525169267614195e-05
greeks,0.1,15.579514708449535,27.01908115342252,11.76466158990771,0.02528677196502547,9.525169267614195e-05
greeks,0.2,15.579514708449535,27.01908115342252,11.76466158990771,0.02528677196502547,9.525169267614195e-05
greeks,0.4,15.579514708449535,27.01908115342252,11.76466158990771,0.02528677196502547,9.525169267614195e-05
greeks,0.6,15.579514708449535,27.01908115342252,11.76466158990771,0.02528677196502547,9.525169267614195e-05
greeks,0.8,15.579514708449535,27.01908115342252,11.76466158990771,0.02528677196502547,9.525169267614195e-05
greeks,1.0,15.579514708449535,27.01908115342252,11.76466158990771,0.02528677196502547,9.525169267614195e-05
micro,0.0,28.28607312658004,59.804784850419885,2.140208406072656,0.12910919767601328,0.0017991043311510729
micro,0.01,28.28607312658004,59.804784850419885,2.140208406072656,0.12910919767601328,0.0017991043311510729
micro,0.03,28.28607312658004,59.804784850419885,2.140208406072656,0.12910919767601328,0.0017991043311510729
micro,0.06,28.28607312658004,59.804784850419885,2.140208406072656,0.12910919767601328,0.0017991043311510729
micro,0.1,28.28607312658004,59.804784850419885,2.140208406072656,0.12910919767601328,0.0017991043311510729
micro,0.2,28.28607312658004,59.804784850419885,2.140208406072656,0.12910919767601328,0.0017991043311510729
micro,0.4,28.28607312658004,59.804784850419885,2.140208406072656,0.12910919767601328,0.0017991043311510729
micro,0.6,28.28607312658004,59.804784850419885,2.140208406072656,0.12910919767601328,0.0017991043311510729
micro,0.8,28.28607312658004,59.804784850419885,2.140208406072656,0.12910919767601328,0.0017991043311510729
micro,1.0,28.28607312658004,59.804784850419885,2.140208406072656,0.12910919767601328,0.0017991043311510729
combined,0.0,17.561343661292334,28.53507710508883,25.611830355908324,0.10003519437624103,0.00108529594347112
combined,0.01,17.561343661292334,28.53507710508883,25.611830355908324,0.10003519437624103,0.00108529594347112
combined,0.03,17.561343661292334,28.53507710508883,25.611830355908324,0.10003519437624103,0.00108529594347112
combined,0.06,16.336300018795207,22.725771841888687,9.37659736183568,0.08692255009629445,0.0007189057876924442
combined,0.1,16.336300018795207,22.725771841888687,9.37659736183568,0.08692255009629445,0.0007189057876924442
combined,0.2,16.336300018795207,22.725771841888687,9.37659736183568,0.08692255009629445,0.0007189057876924442
combined,0.4,16.336300018795207,22.725771841888687,9.37659736183568,0.08692255009629445,0.0007189057876924442
combined,0.6,16.336300018795207,22.725771841888687,9.37659736183568,0.08692255009629445,0.0007189057876924442
combined,0.8,19.169088863454302,36.564018166499785,4.435439494074442,0.08450384676904081,0.0007095447924057166
combined,1.0,19.169088863454302,36.564018166499785,4.435439494074442,0.08450384676904081,0.0007095447924057166
